#2602 - Siksikawa

#Default
owner = BLA			#Blackfoot
controller = BLA
add_core = BLA
is_city = yes
culture = blackfoot
religion = totemism
capital = "O'kotok"
trade_goods = unknown
hre = no
base_tax = 4
base_production = 4
base_manpower = 4
native_size = 10
native_ferocity = 2
native_hostileness = 3

#Commerce
center_of_trade = 1

#Province Modifiers
add_permanent_province_modifier = {
    name = rich_black_soil
    duration = -1
}
add_permanent_province_modifier = {
    name = vu_american_prarie
    duration = -1
}
